지역,위도,경도,지수,,,
함양읍사무소,35.51969,127.726839,323282.0324,,,
마천면사무소,35.396549,127.663089,36736.59459,,,
백전면사무소,35.551679,127.635702,27552.44595,,,
병곡면사무소,35.528497,127.682259,22041.95676,,,
서상면사무소,35.683351,127.685828,31226.10541,,,
서하면사무소,35.647547,127.695492,23878.78649,,,
수동면사무소,35.521971,127.787745,42247.08378,,,
안의면사무소,35.628625,127.811204,78983.67838,,,
유림면사무소,35.466114,127.792334,29389.27568,,,
지곡면사무소,35.566143,127.774259,36736.59459,,,
휴천면사무소,35.480599,127.750223,27552.44595,,,
