지역,위도,경도,지수,,,
함양읍사무소,35.51969,127.726839,407463.3081,,,
마천면사무소,35.396549,127.663089,46302.64865,,,
백전면사무소,35.551679,127.635702,34726.98649,,,
병곡면사무소,35.528497,127.682259,27781.58919,,,
서상면사무소,35.683351,127.685828,39357.25135,,,
서하면사무소,35.647547,127.695492,30096.72162,,,
수동면사무소,35.521971,127.787745,53248.04595,,,
안의면사무소,35.628625,127.811204,99550.69459,,,
유림면사무소,35.466114,127.792334,37042.11892,,,
지곡면사무소,35.566143,127.774259,46302.64865,,,
휴천면사무소,35.480599,127.750223,34726.98649,,,
