대학명,위도,경도, 논문수,,,
부산가톨릭대,35.244647,129.098056,149,,,
부산대,35.233951,129.080707,2531,,,
부산외대,35.266940,129.080124,285,,,
경성대,35.139868,129.098018,291,,,
동명대,35.121581,129.101073,286,,,
부경대,35.134639,129.102784,1101,,,
동의대,35.141690,129.033445,541,,,
동서대,35.143810,129.010887,296,,,
신라대,35.167492,128.996122,301,,,
동아대,35.116574,128.968504,774,,,
고신대,35.081118,129.014031,217,,,
해양대,35.075962,129.088967,360,,,
부산교대,35.195409,129.075179,173,,,
