지역,위도,경도,지수,,,
괴산읍,36.811623,127.790816,210040,,,
감물면,36.836590,127.875006,45170,,,
문광면,36.790128,127.785213,49687,,,
불정면,36.871858,127.853880,49287,,,
사리면,36.817039,127.648382,58721,,,
소수면,36.855838,127.745015,47428,,,
연풍면,36.766262,128.000472,49687,,,
장연면,36.824114,127.955188,42911,,,
청안면,36.771950,127.639823,76789,,,
청천면,36.730931,127.804838,115183,,,
칠성면,36.787877,127.864469,67755,,,
